data,test,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18,iter_19,iter_20,iter_21,iter_22,iter_23,iter_24,iter_25
map2,9,128.331,128.331,128.331,128.331,88.2679,75.6953,75.6953,75.6953,75.6953,75.6953,70.2471,64.0414,64.0414,64.0414,64.0414,64.0414,64.0414,64.0414,64.0414,64.0414,64.0414,64.0414,64.0414,64.0414,64.0414
map2,10,100.265,100.265,100.265,75.0673,75.0673,75.0673,75.0673,61.8913,61.8913,61.8913,61.8913,61.8913,61.8913,61.8913,61.8913,61.8913,61.8913,61.8913,61.8913,61.8913,61.8913,61.8913,61.8913,61.8913,61.8913
map2,11,165.036,161.535,135.289,120.475,93.2034,93.2034,93.2034,92.1773,83.4893,75.9739,75.9739,75.9739,75.9739,75.9739,75.9739,75.9739,75.9739,75.9739,75.9739,65.1334,65.1334,65.1334,65.1334,65.1334,65.1334
map2,12,137.861,137.861,121.397,121.397,95.512,95.512,95.512,86.2301,76.2006,76.2006,76.2006,76.2006,76.2006,64.5869,64.5869,64.5869,64.5869,64.5869,64.5869,64.5869,64.5869,64.5869,64.5869,64.5869,64.5869
map2,13,128.637,128.637,128.637,128.637,87.7861,87.7861,87.7861,87.7861,87.7861,87.7861,70.3876,70.3876,70.3876,70.3876,68.8937,68.8937,68.8937,68.8937,65.4088,65.4088,64.0032,64.0032,64.0032,64.0032,62.418
map2,14,240.421,240.421,240.421,181.175,142.45,94.4255,93.6959,93.6959,93.6959,75.62,75.4193,74.0434,74.0434,73.151,73.151,71.1337,71.1337,71.1337,68.7281,65.9741,65.9741,65.9741,65.9741,61.4548,61.4548
map2,15,241.313,229.478,224.234,222.088,199.674,198.831,116.431,116.431,116.431,116.431,116.431,116.431,116.431,116.431,116.431,116.431,88.9461,73.8816,73.8816,73.8816,73.8816,61.9929,61.9929,61.9929,61.9929
map2,16,124.948,124.948,118.675,111.559,111.559,105.457,105.375,80.0218,80.0218,80.0218,80.0218,80.0218,80.0218,80.0218,80.0218,80.0218,80.0218,70.9577,70.9577,70.9577,68.5838,68.5838,68.5838,68.5838,68.5838
map2,17,117.309,117.309,117.309,117.309,114.042,110.331,110.331,110.331,71.8067,71.8067,71.8067,71.8067,68.5481,68.5481,68.5481,68.5481,68.5481,68.5481,65.6835,65.6835,65.6835,65.6835,65.6835,65.6835,65.6835
map2,18,123.026,123.026,123.026,123.026,117.601,117.601,117.601,117.601,85.1707,85.1707,85.1707,85.1707,80.6177,80.6177,69.4681,66.8471,66.8471,66.8471,66.8471,66.8471,66.8471,66.8471,66.8471,66.8471,62.6243
map2,19,143.856,78.857,78.857,78.857,65.5834,65.5834,65.5834,65.5834,65.5834,65.5834,65.5834,65.5834,65.5834,65.5834,65.5834,65.5834,65.5834,64.7911,64.7911,64.7911,63.2667,63.2667,63.2667,63.2667,62.6326
map3,0,250.821,241.641,229.438,229.438,229.438,222.319,222.319,189.023,189.023,170.932,170.932,170.932,170.932,170.932,170.932,167.555,167.555,167.555,167.333,162.422,162.422,162.422,162.422,160.149,159.42
map3,1,210.88,210.88,210.88,177.638,177.638,177.638,177.638,177.638,177.132,177.132,177.132,160.01,160.01,159.642,159.642,159.642,159.642,159.642,151.465,151.465,151.465,151.465,151.465,151.465,151.465
map3,2,184.588,184.588,184.588,184.588,184.588,184.588,184.588,183.009,164.072,151.749,151.749,151.749,151.749,151.749,151.749,151.749,151.749,151.749,151.749,151.749,151.749,151.749,151.062,151.062,151.062
map3,3,189.923,189.923,189.923,189.923,174.32,174.32,174.32,174.32,174.32,174.32,174.32,174.32,174.32,174.32,174.32,174.32,174.32,174.32,174.32,174.32,174.32,174.32,174.32,174.32,174.32
map3,4,217.785,217.785,203.287,200.898,200.898,200.898,200.898,186.339,186.339,186.339,186.339,186.339,179.937,179.937,179.22,179.22,166.818,166.818,163.633,163.633,163.633,163.633,163.633,163.633,163.633
map3,5,208.142,208.142,208.142,208.142,208.142,208.142,186.767,186.767,186.767,186.767,167.929,167.929,167.929,167.929,167.929,165.009,165.009,164.536,164.536,163.618,163.618,158.309,158.309,158.309,158.309
map3,6,236.166,236.166,236.166,236.166,214.355,214.355,214.355,214.355,214.355,169.425,169.425,169.425,169.425,169.425,169.425,169.425,169.425,169.425,169.425,169.425,169.425,159.999,159.999,159.999,159.999
map3,7,260.468,260.468,260.468,202.986,202.986,197.696,197.696,197.696,197.696,186.267,186.267,183.776,183.776,183.068,179.965,166.828,166.828,166.828,166.828,166.828,166.828,166.828,166.828,159.799,159.799
map3,8,299.912,299.912,299.912,257.212,214.845,214.845,214.845,214.845,201.732,200.816,200.816,199.802,199.802,174.849,174.849,174.849,155.953,155.953,155.953,155.953,155.953,155.953,155.953,155.953,155.943
map3,9,228.99,228.99,213.166,210.565,203.185,203.185,203.185,189.284,185.896,185.896,182.642,182.642,182.642,182.642,178.106,177.138,177.138,177.138,177.138,174.843,174.843,174.843,174.843,174.218,174.218
map3,10,292.195,292.195,292.195,248.817,248.817,233.744,233.744,215.811,191.2,191.2,184.3,184.3,184.3,181.804,181.804,181.804,181.804,181.804,181.804,167.536,167.536,167.536,167.536,155.08,152.365
map3,11,206.954,206.954,206.954,206.954,179.543,179.543,179.543,174.929,174.929,174.929,174.929,174.929,168.108,168.108,168.108,157.901,157.901,157.901,157.901,157.901,157.617,157.617,156.93,156.93,151.928
map3,12,342.254,342.254,342.254,279.733,269.066,205.732,205.732,205.732,204.462,203.824,190.381,190.381,190.381,174.504,173.51,173.51,173.51,173.51,173.51,170.044,168.922,162.033,162.033,162.033,153.991
map3,13,409.044,377.353,171.839,171.839,171.839,171.839,171.839,171.839,171.839,171.839,171.839,164.183,164.183,164.183,163.525,163.525,163.525,163.525,154.287,154.287,154.287,154.287,154.287,154.287,153.281
map3,14,282.854,282.854,282.82,223.28,223.28,223.28,212.558,212.558,210.334,210.164,208.017,191.783,188.395,188.395,188.395,188.395,188.395,188.395,163.699,163.699,163.699,149.537,149.537,149.537,149.537
map3,15,174.093,174.093,174.093,174.093,174.093,174.093,171.152,171.152,171.152,171.152,171.152,171.152,171.152,171.152,171.152,171.152,171.152,171.152,171.152,171.152,171.152,171.152,171.152,171.152,171.152
map3,16,183.066,183.066,183.066,183.066,183.066,183.066,183.066,183.066,183.066,183.066,183.066,183.066,174.872,174.872,174.872,174.872,167.047,167.047,167.047,167.047,167.047,167.047,167.047,167.047,167.047
map3,17,222.527,222.527,222.527,222.527,192.574,192.574,192.574,192.547,188.033,188.033,188.033,188.033,188.033,188.033,173.349,173.349,166.504,166.504,162.019,159.968,159.968,159.968,157.708,149.88,149.88
map3,18,191.968,191.968,191.968,191.968,191.968,191.968,191.968,191.968,191.968,191.968,191.968,175.733,161.227,161.227,161.227,161.227,161.227,161.227,161.227,161.227,161.227,160.348,160.348,158.342,158.342
